Brand,Usage_Type,CPU_Brand,GPU_Brand,GPU_Model,CPU_Cores,CPU_Frequency_GHz,RAM_GB,Storage_GB,CPU_Performance_Score,GPU_Performance_Score,Overall_Performance_Score,Price_USD,Price_Performance_Ratio,Screen_Size,Price_CNY
Acer,Professional,AMD,AMD,Iris Xe,6,1.16,4,512,2976,900,3876,2348.13,1.65,13.4,17024
Dell,Professional,Apple,AMD,RTX 3070,8,1.17,64,1024,1816,3000,4816,3537.63,1.36,15.8,25648
Acer,Professional,Intel,AMD,RX 6600,6,1.04,16,128,2868,2000,4868,3066.84,1.59,15.4,22235
Dell,Professional,Apple,NVIDIA,RX 6600,6,3.75,8,1024,2400,2000,4400,2805.01,1.57,16.2,20336
Acer,Professional,Intel,NVIDIA,RTX 3060,4,3.15,16,1024,1548,2200,3748,2603.85,1.44,14.8,18878
HP,Professional,AMD,Intel,RX 6700,4,1.06,4,1024,840,2800,3640,2733.6,1.33,14.7,19819
HP,Professional,Intel,NVIDIA,Iris Xe,12,1.64,32,128,3359,900,4259,2763.65,1.54,14.8,20036
Lenovo,Professional,Apple,AMD,RTX 3080,4,2.26,8,128,1152,3800,4952,3372.91,1.47,16.4,24454
Lenovo,Professional,Apple,AMD,RTX 3070,4,1.32,8,256,1784,3000,4784,3357.05,1.43,14.4,24339
Dell,Professional,Apple,Intel,RTX 3050,12,2.14,8,2048,3396,1500,4896,3101.39,1.58,14.4,22485
HP,Professional,AMD,AMD,Iris Xe,8,1.07,4,512,3256,900,4156,2550.72,1.63,15.2,18493
Asus,Professional,Intel,Intel,RTX 3070,2,2.19,8,512,526,3000,3526,2689.16,1.31,14.2,19496
HP,Professional,Intel,AMD,Iris Xe,6,2.5,8,1024,3228,900,4128,2669.6,1.55,14.4,19355
Dell,Professional,Apple,Intel,RX 6700,6,2.68,4,128,1986,2800,4786,3172.38,1.51,15.4,23000
Asus,Professional,Apple,NVIDIA,Iris Xe,6,3.63,32,512,2706,900,3606,2469.16,1.46,13.8,17901
Asus,Professional,Apple,AMD,RX 6700,8,2.89,16,2048,2096,2800,4896,3468.49,1.41,14.1,25147
HP,Professional,AMD,AMD,Iris Xe,8,2.18,64,2048,3208,900,4108,2844.74,1.44,15.0,20624
Lenovo,Professional,Intel,AMD,RTX 3080,4,2.12,64,512,1028,3800,4828,3635.06,1.33,16.3,26354
Dell,Professional,AMD,AMD,Iris Xe,8,3.68,8,2048,4096,900,4996,3191.56,1.57,16.7,23139
Lenovo,Professional,Apple,Intel,RX 6600,6,3.48,64,128,2718,2000,4718,3146.95,1.5,15.4,22815
Apple,Professional,AMD,AMD,RTX 3060,6,2.46,16,256,1470,2200,3670,2611.21,1.41,15.8,18931
HP,Professional,AMD,AMD,RTX 3060,6,2.56,64,1024,1722,2200,3922,2881.44,1.36,16.1,20890
Lenovo,Professional,AMD,NVIDIA,RX 6600,6,3.22,64,256,2879,2000,4879,3448.78,1.41,15.9,25004
Dell,Professional,Apple,Intel,RTX 3050,6,2.23,32,512,2100,1500,3600,2402.14,1.5,14.9,17416
Asus,Professional,Apple,AMD,Iris Xe,6,1.56,64,1024,3042,900,3942,2657.67,1.48,15.8,19268
MSI,Professional,Apple,AMD,RX 6700,6,1.88,4,128,1770,2800,4570,3126.37,1.46,16.6,22666
Asus,Professional,Apple,AMD,RX 6600,6,2.54,4,2048,1560,2000,3560,2591.78,1.37,16.5,18790
Asus,Professional,Apple,AMD,RX 6600,4,2.51,4,1024,1996,2000,3996,2741.31,1.46,16.6,19874
Apple,Professional,Apple,Intel,RTX 3050,12,3.21,64,1024,2411,1500,3911,2808.58,1.39,15.9,20362
HP,Professional,Apple,AMD,RTX 3070,4,3.84,8,1024,1212,3000,4212,2938.81,1.43,15.9,21306
Asus,Professional,Apple,NVIDIA,RTX 3060,6,2.48,32,2048,2244,2200,4444,3109.24,1.43,15.7,22542
Apple,Professional,Apple,NVIDIA,RTX 3060,8,3.72,4,128,2176,2200,4376,2756.27,1.59,16.2,19983
Acer,Professional,Intel,AMD,RX 6600,6,1.19,4,512,2478,2000,4478,2997.54,1.49,15.6,21732
HP,Professional,Intel,AMD,RX 6700,8,1.92,32,1024,1688,2800,4488,3168.02,1.42,15.3,22968
Apple,Professional,Apple,AMD,RTX 3060,8,1.46,64,1024,2528,2200,4728,3446.95,1.37,15.4,24990
Asus,Professional,Intel,NVIDIA,RTX 3070,4,1.67,16,256,1108,3000,4108,2951.66,1.39,15.9,21400
HP,Professional,AMD,NVIDIA,RTX 3070,4,2.36,8,2048,1108,3000,4108,3122.64,1.32,15.0,22639
Dell,Professional,Apple,Intel,RTX 3060,8,2.54,8,512,2064,2200,4264,2934.68,1.45,16.7,21276
Asus,Professional,Apple,Intel,RX 6600,6,3.32,16,256,1902,2000,3902,2623.89,1.49,17.4,19023
Acer,Professional,AMD,NVIDIA,RX 6700,4,3.78,64,128,1320,2800,4120,3133.64,1.31,14.6,22719
Dell,Professional,Intel,Intel,RX 6600,4,2.17,4,1024,2004,2000,4004,2578.87,1.55,15.8,18697
Apple,Professional,AMD,NVIDIA,RTX 3060,4,1.11,64,1024,1520,2200,3720,2985.61,1.25,14.9,21646
Asus,Professional,Intel,Intel,RTX 3060,6,3.32,4,128,2676,2200,4876,2999.99,1.63,17.2,21750
MSI,Professional,Apple,Intel,RTX 3060,6,2.68,64,512,2448,2200,4648,3249.3,1.43,14.9,23557
Acer,Professional,Intel,AMD,Iris Xe,16,1.73,8,2048,3296,900,4196,2619.67,1.6,15.8,18993
MSI,Professional,Intel,AMD,Iris Xe,12,3.38,32,128,2724,900,3624,2272.88,1.59,17.1,16478
Lenovo,Professional,Intel,Intel,Iris Xe,6,3.89,32,1024,2868,900,3768,2390.92,1.58,14.2,17334
Lenovo,Professional,Apple,NVIDIA,RTX 3070,4,2.89,8,512,1100,3000,4100,2802.5,1.46,16.3,20318
MSI,Professional,AMD,NVIDIA,RTX 3080,2,3.63,8,2048,1046,3800,4846,3528.32,1.37,16.2,25580
Dell,Professional,Apple,NVIDIA,RTX 3060,6,1.78,64,512,2532,2200,4732,3244.89,1.46,17.3,23525
MSI,Professional,AMD,Intel,RTX 3060,4,3.43,4,512,1444,2200,3644,2570.16,1.42,17.3,18634
Apple,Professional,Intel,Intel,RTX 3050,12,1.5,4,128,3396,1500,4896,2968.26,1.65,14.8,21520
Lenovo,Professional,Intel,NVIDIA,RX 6700,4,2.58,32,512,1000,2800,3800,2807.73,1.35,15.8,20356
Asus,Professional,AMD,AMD,Iris Xe,6,1.4,4,512,2922,900,3822,2346.75,1.63,14.5,17014
Dell,Professional,Apple,Intel,RX 6700,2,3.76,16,512,744,2800,3544,2593.91,1.37,14.9,18806
Apple,Professional,AMD,NVIDIA,RX 6600,6,2.93,4,1024,2748,2000,4748,3021.64,1.57,15.4,21907
Apple,Professional,Apple,AMD,RX 6600,12,2.31,8,128,2448,2000,4448,2735.57,1.63,15.0,19833
Dell,Professional,Intel,NVIDIA,RX 6700,6,2.77,64,128,1991,2800,4791,3538.07,1.35,14.6,25651
Dell,Professional,Intel,Intel,RTX 3060,8,2.43,32,128,2584,2200,4784,3267.78,1.46,16.1,23691
MSI,Professional,AMD,AMD,RTX 3070,8,3.14,4,1024,1832,3000,4832,3206.97,1.51,16.0,23251
Dell,Professional,Apple,Intel,RX 6600,4,3.32,32,128,2084,2000,4084,2665.13,1.53,16.2,19322
Lenovo,Professional,AMD,AMD,RTX 3060,8,2.39,8,128,2568,2200,4768,3041.06,1.57,14.8,22048
Acer,Professional,Apple,AMD,RTX 3050,12,1.43,8,256,3348,1500,4848,2855.61,1.7,15.7,20703
Acer,Professional,Intel,Intel,RX 6700,6,3.14,16,1024,1734,2800,4534,3107.74,1.46,15.1,22531
Lenovo,Professional,AMD,AMD,RX 6600,6,3.61,8,2048,2892,2000,4892,3372.09,1.45,15.3,24448
Lenovo,Professional,Apple,AMD,RTX 3070,4,2.11,16,1024,1508,3000,4508,3246.09,1.39,16.2,23534
Asus,Professional,Apple,AMD,RTX 3080,4,3.36,16,256,1044,3800,4844,3408.57,1.42,15.7,24712
Apple,Professional,Intel,AMD,RX 6600,4,2.94,64,512,1552,2000,3552,2761.79,1.29,15.8,20023
Apple,Professional,Intel,Intel,RTX 3060,4,1.81,16,1024,1744,2200,3944,2651.71,1.49,15.7,19225
Asus,Professional,AMD,AMD,RTX 3070,2,2.76,32,256,830,3000,3830,2995.18,1.28,15.8,21715
Apple,Professional,Intel,AMD,RTX 3050,12,2.69,64,1024,2952,1500,4452,2999.9,1.48,15.6,21749
HP,Professional,Intel,NVIDIA,RTX 3050,8,2.46,16,256,2464,1500,3964,2667.22,1.49,14.9,19337
Dell,Professional,AMD,NVIDIA,RX 6600,12,3.23,4,256,2483,2000,4483,2944.29,1.52,15.3,21346
HP,Professional,Intel,Intel,RTX 3080,2,3.21,16,256,818,3800,4618,3295.44,1.4,15.6,23892
HP,Professional,Apple,NVIDIA,RTX 3050,8,3.23,8,128,3144,1500,4644,2763.79,1.68,17.2,20037
Apple,Professional,Apple,AMD,RTX 3050,6,2.36,32,512,2628,1500,4128,2727.8,1.51,15.2,19777
HP,Professional,Intel,AMD,Iris Xe,8,1.95,16,256,3048,900,3948,2484.94,1.59,13.9,18016
Apple,Professional,Intel,Intel,RTX 3060,4,3.91,64,1024,1668,2200,3868,3011.25,1.28,15.2,21832
HP,Professional,Intel,AMD,RTX 3070,4,3.45,32,256,1732,3000,4732,3328.35,1.42,14.5,24131
Asus,Professional,Apple,Intel,RTX 3070,2,3.2,4,128,819,3000,3819,2803.11,1.36,15.3,20323
Acer,Professional,AMD,AMD,RX 6700,6,2.41,32,1024,2100,2800,4900,3533.56,1.39,15.2,25618
Apple,Professional,Apple,NVIDIA,Iris Xe,6,3.91,32,256,2844,900,3744,2351.79,1.59,15.0,17050
Lenovo,Professional,AMD,NVIDIA,Iris Xe,6,3.87,8,512,3161,900,4061,2456.18,1.65,14.6,17807
Apple,Professional,AMD,Intel,RTX 3070,8,3.42,4,2048,1800,3000,4800,3499.37,1.37,14.9,25370
Lenovo,Professional,AMD,AMD,RX 6700,6,2.93,64,2048,1439,2800,4239,3391.98,1.25,14.4,24592
Dell,Professional,Apple,NVIDIA,RX 6700,8,2.26,4,1024,1888,2800,4688,3205.36,1.46,13.8,23239
Acer,Professional,Apple,AMD,RX 6700,4,3.92,8,128,1024,2800,3824,2697.87,1.42,17.6,19560
Asus,Professional,Intel,Intel,Iris Xe,8,3.62,16,2048,3936,900,4836,3143.07,1.54,16.0,22787
Lenovo,Professional,Apple,NVIDIA,RTX 3050,8,1.6,16,128,2504,1500,4004,2493.53,1.61,15.3,18078
Lenovo,Professional,AMD,NVIDIA,RTX 3050,8,3.88,32,128,3304,1500,4804,3005.86,1.6,15.0,21792
Dell,Professional,Intel,Intel,RTX 3070,8,1.84,8,128,1839,3000,4839,3329.92,1.45,15.3,24142
Apple,Professional,AMD,NVIDIA,Iris Xe,12,1.24,32,256,2940,900,3840,2503.41,1.53,15.6,18150
Apple,Professional,Intel,NVIDIA,RTX 3080,2,1.15,8,2048,644,3800,4444,3404.05,1.31,16.3,24679
MSI,Professional,Apple,Intel,RTX 3060,8,2.61,64,1024,2504,2200,4704,3371.75,1.4,14.9,24445
Apple,Professional,AMD,AMD,RTX 3070,2,2.68,4,256,686,3000,3686,2542.96,1.45,16.7,18436
MSI,Professional,AMD,NVIDIA,RTX 3070,6,3.7,32,1024,1596,3000,4596,3450.36,1.33,17.3,25015
HP,Professional,AMD,AMD,RTX 3050,6,1.18,16,2048,2286,1500,3786,2661.17,1.42,15.1,19293
Lenovo,Professional,Intel,Intel,RX 6700,2,2.28,16,256,866,2800,3666,2582.24,1.42,14.3,18721
Apple,Professional,Apple,Intel,RTX 3080,2,1.32,64,512,720,3800,4520,3531.25,1.28,16.5,25602
MSI,Professional,Intel,Intel,RTX 3070,2,3.97,64,2048,961,3000,3961,3402.91,1.16,15.5,24671
Lenovo,Professional,Apple,NVIDIA,RX 6600,8,1.33,4,2048,2240,2000,4240,2946.73,1.44,17.7,21364
MSI,Professional,Apple,Intel,Iris Xe,16,1.78,32,512,3296,900,4196,2737.37,1.53,16.3,19846
HP,Professional,Intel,AMD,RTX 3060,6,2.24,8,2048,2406,2200,4606,3056.82,1.51,16.2,22162
HP,Professional,Apple,Intel,RTX 3080,2,1.55,64,2048,428,3800,4228,3677.13,1.15,15.6,26659
Apple,Professional,Intel,NVIDIA,RTX 3060,4,3.99,16,1024,1512,2200,3712,2533.16,1.47,14.2,18365
Asus,Professional,Apple,Intel,Iris Xe,8,2.53,16,512,3496,900,4396,2626.3,1.67,15.8,19041
Apple,Professional,AMD,AMD,RX 6700,4,3.51,4,256,1916,2800,4716,3058.97,1.54,15.3,22178
MSI,Professional,Intel,Intel,RTX 3070,4,3.56,64,128,1568,3000,4568,3306.88,1.38,15.7,23975
HP,Professional,Apple,NVIDIA,RTX 3060,6,1.39,4,1024,2772,2200,4972,3265.18,1.52,15.2,23673
MSI,Professional,Apple,NVIDIA,RX 6600,4,3.52,4,512,1816,2000,3816,2435.02,1.57,17.0,17654
Dell,Professional,Apple,Intel,RTX 3060,4,2.33,8,128,1992,2200,4192,2641.08,1.59,16.4,19148
Dell,Professional,AMD,Intel,RX 6600,4,2.08,16,128,1764,2000,3764,2609.05,1.44,16.8,18916
Dell,Professional,AMD,AMD,RX 6600,4,2.33,4,128,1636,2000,3636,2546.98,1.43,16.2,18466
Lenovo,Professional,AMD,AMD,Iris Xe,8,2.81,16,512,3679,900,4579,2789.82,1.64,16.5,20226
Dell,Professional,Apple,AMD,Iris Xe,12,3.46,8,512,3432,900,4332,2503.78,1.73,15.0,18152
Apple,Professional,Apple,AMD,RX 6700,4,3.39,64,1024,1828,2800,4628,3365.81,1.38,16.5,24402
Dell,Professional,Apple,AMD,RTX 3070,2,1.84,16,128,1026,3000,4026,2813.36,1.43,15.4,20397
MSI,Professional,Apple,NVIDIA,RTX 3050,6,1.58,64,1024,2376,1500,3876,2743.51,1.41,16.0,19890
MSI,Professional,AMD,NVIDIA,RTX 3070,2,2.8,16,512,1090,3000,4090,2941.78,1.39,13.1,21328
HP,Professional,Intel,AMD,RX 6700,6,2.71,32,1024,1812,2800,4612,3251.14,1.42,16.6,23571
HP,Professional,Apple,Intel,RTX 3080,2,1.97,4,1024,926,3800,4726,3333.52,1.42,16.0,24168
HP,Professional,AMD,AMD,Iris Xe,8,2.32,4,1024,2872,900,3772,2407.42,1.57,15.7,17454
Asus,Professional,Intel,AMD,RTX 3050,6,3.13,64,1024,3161,1500,4661,3146.74,1.48,15.0,22814
MSI,Professional,Apple,NVIDIA,RX 6600,4,1.95,64,512,1880,2000,3880,3003.67,1.29,16.0,21777
Dell,Professional,Apple,Intel,RTX 3070,2,3.75,32,128,860,3000,3860,2770.87,1.39,16.1,20089
Dell,Professional,Intel,AMD,RTX 3070,6,1.71,16,2048,1428,3000,4428,3198.49,1.38,16.9,23189
Apple,Professional,Apple,Intel,RTX 3050,6,2.15,64,1024,2664,1500,4164,3049.91,1.37,15.6,22112
Asus,Professional,Intel,AMD,RX 6600,4,2.23,32,512,1544,2000,3544,2539.31,1.4,14.3,18410
Acer,Professional,AMD,NVIDIA,Iris Xe,16,1.87,32,128,3728,900,4628,2845.28,1.63,15.7,20628
HP,Professional,Intel,NVIDIA,RTX 3080,2,1.28,8,256,1090,3800,4890,3330.21,1.47,14.8,24144
Asus,Professional,AMD,Intel,RX 6600,6,1.28,16,2048,1655,2000,3655,2800.86,1.3,16.3,20306
Dell,Professional,Intel,AMD,RTX 3080,2,3.98,64,512,884,3800,4684,3661.05,1.28,13.1,26543
Acer,Professional,Apple,NVIDIA,RX 6600,8,1.28,32,128,2544,2000,4544,3022.81,1.5,15.5,21915
MSI,Professional,AMD,NVIDIA,RTX 3080,2,3.6,32,256,1026,3800,4826,3465.18,1.39,16.4,25123
Lenovo,Professional,Apple,AMD,RTX 3050,6,1.42,8,128,2442,1500,3942,2556.35,1.54,15.1,18534
HP,Professional,AMD,Intel,RTX 3060,4,2.71,32,256,1804,2200,4004,2821.08,1.42,15.6,20453
Dell,Professional,Apple,Intel,RTX 3050,4,2.57,4,128,2064,1500,3564,2227.56,1.6,17.0,16150
HP,Professional,AMD,NVIDIA,Iris Xe,8,1.05,32,512,3784,900,4684,2882.22,1.63,15.1,20896
Apple,Professional,Apple,Intel,RTX 3070,4,3.27,4,2048,1768,3000,4768,3313.9,1.44,13.6,24026
Asus,Professional,Intel,AMD,RTX 3070,6,3.12,8,2048,1691,3000,4691,3241.27,1.45,15.2,23499
Asus,Professional,Intel,NVIDIA,RTX 3080,2,2.4,16,1024,450,3800,4250,3141.63,1.35,15.7,22777
Acer,Professional,Intel,NVIDIA,RTX 3060,6,1.24,64,1024,1889,2200,4089,3149.52,1.3,13.7,22834
Dell,Professional,Intel,Intel,RX 6700,6,1.44,16,1024,1404,2800,4204,2948.54,1.43,14.3,21377
Dell,Professional,AMD,Intel,RTX 3060,12,2.7,4,2048,2652,2200,4852,3204.92,1.51,14.7,23236
Acer,Professional,Apple,AMD,RTX 3070,6,3.68,4,128,1260,3000,4260,2838.84,1.5,14.2,20582
Acer,Professional,AMD,Intel,RTX 3060,4,2.98,64,128,1623,2200,3823,2914.45,1.31,14.9,21130
HP,Professional,Intel,AMD,RX 6600,8,2.62,16,512,2216,2000,4216,2924.65,1.44,15.8,21204
HP,Professional,Apple,Intel,RX 6700,6,3.71,32,256,1391,2800,4191,3105.34,1.35,16.6,22514
HP,Professional,AMD,Intel,RTX 3070,4,2.77,16,2048,1948,3000,4948,3495.81,1.42,14.4,25345
Acer,Professional,Intel,AMD,RX 6600,8,3.25,16,2048,2392,2000,4392,2935.9,1.5,16.9,21285
Lenovo,Professional,AMD,NVIDIA,RX 6700,4,3.4,4,128,1144,2800,3944,2652.31,1.49,17.9,19229
Apple,Professional,Apple,AMD,RTX 3050,8,3.53,16,2048,2400,1500,3900,2662.74,1.46,15.9,19305
Acer,Professional,Intel,NVIDIA,Iris Xe,6,1.05,64,2048,2633,900,3533,2608.37,1.35,16.7,18911
Acer,Professional,AMD,AMD,RTX 3070,4,3.25,64,512,960,3000,3960,3219.03,1.23,14.4,23338
Asus,Professional,Intel,AMD,RTX 3060,8,3.52,8,1024,1712,2200,3912,2772.78,1.41,14.5,20103
MSI,Professional,AMD,Intel,RTX 3070,6,3.38,64,1024,1986,3000,4986,3637.89,1.37,15.3,26375
Dell,Professional,Apple,NVIDIA,RX 6600,6,2.41,32,512,2376,2000,4376,2862.45,1.53,16.1,20753
Apple,Professional,Intel,NVIDIA,RTX 3060,4,2.48,32,2048,2132,2200,4332,3038.81,1.43,16.3,22031
Dell,Professional,Intel,Intel,RX 6700,2,1.88,16,1024,861,2800,3661,2705.51,1.35,15.7,19615
MSI,Professional,AMD,Intel,RTX 3050,12,2.74,64,256,2904,1500,4404,3100.65,1.42,15.4,22480
Dell,Professional,Apple,Intel,RTX 3060,6,3.64,4,256,2172,2200,4372,2883.72,1.52,16.6,20907
Dell,Professional,AMD,NVIDIA,RX 6700,6,2.69,64,1024,1854,2800,4654,3381.86,1.38,17.8,24518
Acer,Professional,Apple,AMD,RTX 3060,6,2.67,64,512,2706,2200,4906,3544.19,1.38,16.7,25695
Acer,Professional,AMD,NVIDIA,RTX 3070,6,1.92,8,1024,1434,3000,4434,3191.97,1.39,15.8,23142
HP,Professional,Apple,Intel,RTX 3050,6,3.32,32,256,3144,1500,4644,3089.62,1.5,14.4,22400
Dell,Professional,AMD,AMD,RTX 3060,6,1.1,4,1024,1752,2200,3952,2768.7,1.43,15.1,20073
Acer,Professional,Apple,AMD,RTX 3050,12,3.26,32,2048,3240,1500,4740,3184.54,1.49,16.5,23088
MSI,Professional,AMD,Intel,Iris Xe,8,3.9,8,1024,3456,900,4356,2794.47,1.56,15.5,20260
MSI,Professional,Apple,Intel,RTX 3050,8,2.58,64,512,2808,1500,4308,3076.79,1.4,16.5,22307
Acer,Professional,Apple,NVIDIA,RTX 3080,4,1.99,64,512,844,3800,4644,3582.51,1.3,17.4,25973
HP,Professional,Apple,Intel,RX 6700,6,1.94,16,1024,1500,2800,4300,3043.15,1.41,14.2,22063
Lenovo,Professional,AMD,AMD,RX 6700,4,1.38,8,256,1540,2800,4340,2897.43,1.5,15.7,21006
Asus,Professional,Apple,NVIDIA,RX 6600,8,2.41,16,256,2504,2000,4504,3051.41,1.48,15.6,22123
Apple,Professional,AMD,Intel,RTX 3060,6,3.65,8,128,1548,2200,3748,2436.3,1.54,15.4,17663
Lenovo,Professional,Intel,NVIDIA,Iris Xe,8,1.87,32,128,3744,900,4644,2783.98,1.67,14.2,20184
MSI,Professional,Intel,AMD,RX 6600,8,1.98,32,128,2664,2000,4664,3100.06,1.5,16.3,22475
Lenovo,Professional,AMD,Intel,RX 6700,2,1.8,4,128,866,2800,3666,2723.91,1.35,16.2,19748
Asus,Professional,Apple,NVIDIA,RTX 3060,4,1.04,32,512,1580,2200,3780,2674.34,1.41,15.4,19389
Apple,Professional,Intel,Intel,RTX 3080,2,1.43,16,256,832,3800,4632,3325.92,1.39,16.5,24113
Asus,Professional,Intel,Intel,RTX 3060,8,2.28,64,2048,2760,2200,4960,3602.04,1.38,14.8,26115
Lenovo,Professional,Intel,NVIDIA,RTX 3060,8,2.79,64,256,2304,2200,4504,3294.68,1.37,15.3,23886
HP,Professional,Intel,Intel,Iris Xe,16,3.96,4,2048,3456,900,4356,2792.25,1.56,14.6,20244
Asus,Professional,AMD,Intel,RTX 3080,4,1.69,16,2048,1036,3800,4836,3707.18,1.3,15.4,26877
Asus,Professional,AMD,Intel,Iris Xe,8,1.62,16,2048,2968,900,3868,2663.69,1.45,15.6,19312
Dell,Professional,Apple,AMD,RTX 3070,2,2.46,64,256,864,3000,3864,2935.85,1.32,15.3,21285
Lenovo,Professional,Intel,Intel,Iris Xe,6,3.03,32,1024,3209,900,4109,2700.39,1.52,15.4,19578
Dell,Professional,Apple,NVIDIA,RTX 3070,4,3.39,64,2048,1696,3000,4696,3753.42,1.25,15.9,27212
Acer,Professional,Apple,Intel,RTX 3060,4,3.07,32,128,1752,2200,3952,2729.99,1.45,15.1,19792
Apple,Professional,Intel,AMD,RX 6600,4,2.89,8,128,1639,2000,3639,2560.02,1.42,16.4,18560
HP,Professional,Apple,Intel,RTX 3050,12,2.08,64,128,3492,1500,4992,3389.02,1.47,15.8,24570
Asus,Professional,Intel,AMD,RX 6700,4,2.85,32,256,1720,2800,4520,3213.56,1.41,17.6,23298
Asus,Professional,AMD,Intel,RTX 3070,6,2.87,8,2048,1476,3000,4476,3181.81,1.41,15.2,23068
HP,Professional,AMD,Intel,RTX 3060,4,1.33,8,128,1623,2200,3823,2658.8,1.44,15.0,19276
Acer,Professional,AMD,AMD,RTX 3060,6,3.63,16,512,1548,2200,3748,2733.64,1.37,16.7,19819
Asus,Professional,Apple,Intel,RX 6700,2,2.34,4,256,1042,2800,3842,2616.45,1.47,17.0,18969
Acer,Professional,AMD,NVIDIA,RX 6700,4,2.43,4,128,1384,2800,4184,2780.91,1.5,17.5,20162
Asus,Professional,AMD,NVIDIA,Iris Xe,8,2.25,64,128,3496,900,4396,2903.46,1.51,15.3,21050
Dell,Professional,AMD,AMD,RTX 3080,2,2.75,16,1024,596,3800,4396,3399.92,1.29,14.2,24649
Apple,Professional,AMD,AMD,RX 6600,4,1.58,16,512,1660,2000,3660,2418.93,1.51,17.7,17537
Lenovo,Professional,AMD,AMD,RTX 3050,6,2.83,4,1024,2711,1500,4211,2643.13,1.59,13.6,19163
MSI,Professional,Apple,Intel,RTX 3070,4,3.76,32,512,1528,3000,4528,3329.63,1.36,14.0,24140
HP,Professional,Intel,Intel,RX 6600,6,2.75,32,1024,1662,2000,3662,2677.87,1.37,16.1,19415
Apple,Professional,AMD,AMD,RTX 3060,6,2.82,8,256,1991,2200,4191,2717.62,1.54,16.6,19703
MSI,Professional,AMD,NVIDIA,RTX 3070,6,3.72,16,512,1644,3000,4644,3227.26,1.44,15.1,23398
Acer,Professional,Intel,Intel,RTX 3070,6,1.68,4,512,1782,3000,4782,3178.97,1.5,16.0,23048
Asus,Professional,Apple,NVIDIA,RTX 3080,2,2.21,64,256,708,3800,4508,3658.22,1.23,15.7,26522
Dell,Professional,Apple,Intel,RTX 3080,2,1.14,8,512,600,3800,4400,3253.13,1.35,15.1,23585
Acer,Professional,Apple,Intel,RTX 3060,4,3.04,64,1024,1368,2200,3568,2783.85,1.28,15.9,20183
Acer,Professional,Intel,Intel,RX 6700,4,3.14,4,2048,1664,2800,4464,3124.29,1.43,15.0,22651
Lenovo,Professional,AMD,AMD,RTX 3070,2,2.07,4,256,916,3000,3916,2707.54,1.45,16.2,19630
Asus,Professional,Apple,NVIDIA,RX 6700,4,1.44,4,128,908,2800,3708,2714.24,1.37,16.4,19678
Apple,Professional,Apple,Intel,RTX 3080,4,1.13,64,128,1184,3800,4984,3753.04,1.33,14.8,27210
Asus,Professional,Intel,NVIDIA,RX 6600,4,1.68,8,2048,1739,2000,3739,2596.75,1.44,14.6,18826
HP,Professional,Apple,AMD,RTX 3050,4,1.94,4,2048,2184,1500,3684,2635.61,1.4,15.3,19108
HP,Professional,AMD,Intel,RTX 3050,8,1.19,16,256,2552,1500,4052,2664.34,1.52,15.8,19316
Acer,Professional,Intel,Intel,RTX 3060,6,1.77,8,256,1655,2200,3855,2677.77,1.44,16.8,19414
Apple,Professional,AMD,AMD,RX 6700,4,2.04,64,128,2112,2800,4912,3572.48,1.37,15.0,25900
Apple,Professional,AMD,AMD,Iris Xe,6,1.57,64,256,3048,900,3948,2772.5,1.42,16.3,20101
Asus,Professional,Apple,AMD,RTX 3050,6,1.91,8,128,2783,1500,4283,2593.97,1.65,15.6,18806
Apple,Professional,AMD,Intel,RX 6600,6,1.06,16,2048,2532,2000,4532,3144.92,1.44,15.7,22801
Lenovo,Professional,Intel,Intel,RX 6600,6,1.58,8,2048,2088,2000,4088,2964.82,1.38,15.3,21495
Acer,Professional,Apple,AMD,RTX 3080,2,1.88,8,512,853,3800,4653,3269.18,1.42,14.6,23702
HP,Professional,Intel,Intel,RTX 3070,4,2.39,4,128,1712,3000,4712,3122.61,1.51,15.4,22639
HP,Professional,AMD,NVIDIA,RTX 3070,4,1.34,16,512,1360,3000,4360,3177.72,1.37,17.3,23038
Asus,Professional,AMD,Intel,RTX 3080,2,1.76,32,512,1018,3800,4818,3667.69,1.31,15.1,26591
Lenovo,Professional,Intel,AMD,RX 6600,6,1.24,16,1024,1812,2000,3812,2723.33,1.4,15.9,19744
Asus,Professional,Apple,Intel,Iris Xe,12,2.11,16,1024,2904,900,3804,2427.43,1.57,14.9,17599
Dell,Professional,AMD,AMD,RTX 3050,6,1.54,64,256,2178,1500,3678,2739.74,1.34,15.0,19863
Lenovo,Professional,Apple,NVIDIA,RTX 3060,4,1.8,4,256,1676,2200,3876,2547.4,1.52,16.1,18469
Apple,Professional,Intel,Intel,RX 6700,2,1.51,32,512,936,2800,3736,2774.51,1.35,15.8,20115
Apple,Professional,AMD,AMD,RTX 3070,6,1.48,4,2048,1998,3000,4998,3509.01,1.42,14.1,25440
Lenovo,Professional,Apple,AMD,RX 6700,6,2.13,4,512,1746,2800,4546,3123.2,1.46,15.1,22643
Lenovo,Professional,Intel,Intel,RTX 3050,6,3.99,8,1024,2646,1500,4146,2646.52,1.57,15.6,19187
Lenovo,Professional,AMD,Intel,RTX 3070,2,2.82,8,2048,886,3000,3886,3075.36,1.26,14.7,22296
Apple,Professional,Intel,AMD,RTX 3080,2,1.77,32,512,634,3800,4434,3392.93,1.31,16.8,24599
