Brand,Usage_Type,CPU_Brand,CPU_Cores,CPU_Frequency_GHz,GPU_Brand,GPU_Model,RAM_GB,Storage_GB,Screen_Size,CPU_Performance_Score,GPU_Performance_Score,Overall_Performance_Score,Price_USD,Price_Performance_Ratio
HP,Basic,Intel,4,2.6,AMD,AMD Radeon,4,128.0,17.3,1031,655,805,442,1.82
Apple,Student,Intel,4,2.7,Intel,Intel Iris Xe,8,512.0,15.6,1073,891,964,405,2.38
MSI,Student,Intel,6,2.5,Intel,Intel UHD,8,512.0,17.3,1474,600,950,847,1.12
Lenovo,Professional,Intel,8,3.7,NVIDIA,NVIDIA RTX,16,1024.0,13.3,2996,2343,2604,2282,1.14
Lenovo,Professional,Intel,8,2.6,NVIDIA,NVIDIA GeForce,16,512.0,13.3,2071,2250,2179,1470,1.48
Lenovo,Professional,AMD,8,2.9,NVIDIA,NVIDIA RTX,32,1024.0,16.0,2282,1493,1809,862,2.1
HP,Student,AMD,4,2.1,AMD,AMD Radeon,8,256.0,13.3,830,1437,1194,814,1.47
HP,Basic,Intel,2,2.5,AMD,AMD Radeon,4,256.0,14.0,507,232,342,453,0.75
Lenovo,Basic,Intel,2,2.8,AMD,AMD Radeon,4,256.0,16.0,550,650,610,300,2.03
Apple,Professional,AMD,8,2.8,AMD,AMD Radeon,16,512.0,13.3,2275,1530,1828,1896,0.96
Lenovo,Student,Intel,4,2.0,Intel,Intel Iris Xe,16,256.0,15.6,815,1369,1147,670,1.71
Apple,Student,Intel,4,2.0,Intel,Intel Iris Xe,8,256.0,14.0,810,1148,1013,737,1.37
Lenovo,Basic,Intel,2,2.3,AMD,AMD Radeon,8,128.0,17.3,458,696,601,363,1.66
Apple,Professional,Intel,6,3.4,NVIDIA,NVIDIA GeForce,16,1024.0,13.3,2018,3439,2871,1290,2.23
Apple,Student,AMD,6,3.5,AMD,AMD Radeon,8,256.0,15.6,2072,1329,1626,418,3.89
Dell,Student,Intel,6,2.6,Intel,Intel Iris Xe,8,256.0,15.6,1573,659,1025,802,1.28
Lenovo,Professional,AMD,6,2.7,NVIDIA,NVIDIA GeForce,32,512.0,15.6,1644,3275,2623,1465,1.79
Lenovo,Student,Intel,6,2.6,Intel,Intel UHD,16,256.0,15.6,1547,884,1149,417,2.76
Dell,Student,Intel,4,2.4,AMD,AMD Radeon,8,512.0,14.0,968,1374,1211,484,2.5
Dell,Basic,Intel,2,2.6,AMD,AMD Radeon,4,128.0,15.6,522,379,436,360,1.21
HP,Professional,Intel,6,3.7,NVIDIA,NVIDIA GeForce,16,1024.0,16.0,2213,1425,1740,2027,0.86
Acer,Professional,AMD,8,3.7,NVIDIA,NVIDIA GeForce,32,512.0,15.6,2928,2522,2684,1389,1.93
ASUS,Basic,AMD,2,2.3,Intel,Intel Iris Xe,4,512.0,16.0,461,372,407,230,1.77
Dell,Professional,AMD,8,3.4,AMD,AMD Radeon,32,1024.0,17.3,2687,2022,2288,1728,1.32
ASUS,Gaming,Intel,12,4.6,NVIDIA,NVIDIA GeForce,32,1024.0,13.3,5493,8908,7542,3594,2.1
HP,Basic,Intel,2,1.7,AMD,AMD Radeon,8,256.0,14.0,342,358,352,333,1.06
Dell,Student,Intel,6,2.7,AMD,AMD Radeon,16,512.0,15.6,1596,703,1060,510,2.08
Dell,Professional,Intel,6,4.4,NVIDIA,NVIDIA GeForce,32,512.0,15.6,2663,2546,2593,1620,1.6
ASUS,Basic,Intel,2,2.7,AMD,AMD Radeon,4,128.0,15.6,535,264,372,337,1.1
HP,Student,Intel,6,2.0,Intel,Intel Iris Xe,16,256.0,14.0,1210,956,1057,820,1.29
HP,Professional,Intel,8,4.4,AMD,AMD Radeon,16,512.0,17.3,3512,1205,2128,2388,0.89
ASUS,Professional,Intel,12,3.3,AMD,AMD Radeon,16,512.0,14.0,3986,1106,2258,1352,1.67
HP,Gaming,Intel,12,3.8,NVIDIA,NVIDIA GeForce,32,512.0,13.3,4609,6334,5644,3138,1.8
Dell,Student,AMD,4,2.5,Intel,Intel Iris Xe,8,512.0,13.3,990,552,727,475,1.53
ASUS,Student,Intel,6,3.4,Intel,Intel UHD,8,512.0,15.6,2016,1311,1593,817,1.95
Lenovo,Professional,AMD,6,3.8,NVIDIA,NVIDIA RTX,32,512.0,14.0,2291,2386,2348,1083,2.17
ASUS,Student,Intel,6,2.5,AMD,AMD Radeon,8,256.0,13.3,1515,1377,1432,721,1.99
Dell,Professional,Intel,6,3.6,NVIDIA,NVIDIA GeForce,16,1024.0,14.0,2184,2321,2266,2456,0.92
Apple,Gaming,Intel,8,3.5,NVIDIA,NVIDIA GeForce,32,1024.0,15.6,2783,12629,8690,1282,6.78
HP,Professional,Intel,12,4.4,NVIDIA,NVIDIA GeForce,32,512.0,15.6,5299,1970,3302,1867,1.77
Lenovo,Professional,Intel,8,4.3,NVIDIA,NVIDIA GeForce,16,512.0,13.3,3462,3528,3501,2513,1.39
Lenovo,Gaming,Intel,12,4.3,AMD,AMD Radeon,16,512.0,15.6,5110,7084,6294,3207,1.96
ASUS,Student,Intel,6,3.4,Intel,Intel Iris Xe,8,512.0,14.0,2038,1123,1489,495,3.01
Lenovo,Student,Intel,6,3.0,Intel,Intel UHD,8,256.0,15.6,1808,999,1323,876,1.51
Lenovo,Gaming,Intel,8,4.5,NVIDIA,NVIDIA RTX,16,512.0,15.6,3596,11260,8194,1019,8.04
Acer,Gaming,Intel,8,5.4,NVIDIA,NVIDIA RTX,16,1024.0,15.6,4324,10074,7774,3691,2.11
Lenovo,Student,AMD,6,3.5,AMD,AMD Radeon,8,512.0,16.0,2099,547,1167,489,2.39
Lenovo,Student,Intel,6,2.5,AMD,AMD Radeon,8,256.0,13.3,1496,1024,1213,341,3.56
Apple,Student,Intel,4,2.4,AMD,AMD Radeon,8,512.0,14.0,975,723,824,711,1.16
HP,Basic,Intel,2,2.4,AMD,AMD Radeon,4,256.0,16.0,486,290,368,455,0.81
ASUS,Gaming,AMD,12,3.0,AMD,AMD Radeon,16,2048.0,15.6,3657,7243,5809,1045,5.56
HP,Professional,Intel,8,3.9,NVIDIA,NVIDIA GeForce,32,512.0,16.0,3086,2238,2577,2153,1.2
Acer,Professional,AMD,8,4.4,NVIDIA,NVIDIA GeForce,32,512.0,15.6,3515,1696,2424,824,2.94
Apple,Basic,AMD,2,2.2,Intel,Intel UHD,8,128.0,15.6,444,224,312,358,0.87
Acer,Student,Intel,4,3.3,AMD,AMD Radeon,8,512.0,13.3,1322,711,956,681,1.4
ASUS,Basic,Intel,2,2.5,Intel,Intel UHD,8,128.0,15.6,497,305,382,446,0.86
Apple,Professional,Intel,6,3.0,AMD,AMD Radeon,32,1024.0,15.6,1814,3835,3027,1688,1.79
Acer,Student,Intel,6,3.0,Intel,Intel UHD,8,256.0,15.6,1779,639,1095,862,1.27
Lenovo,Student,Intel,6,2.5,AMD,AMD Radeon,8,256.0,15.6,1491,1464,1475,644,2.29
Razer,Basic,AMD,4,2.7,Intel,Intel UHD,4,256.0,13.3,1090,254,588,319,1.84
HP,Student,Intel,4,2.8,AMD,AMD Radeon,8,256.0,14.0,1139,1382,1285,667,1.93
Dell,Professional,Intel,6,4.1,NVIDIA,NVIDIA RTX,16,512.0,13.3,2449,2762,2637,2514,1.05
MSI,Basic,Intel,2,1.8,AMD,AMD Radeon,8,256.0,15.6,352,314,329,285,1.15
HP,Basic,Intel,2,2.7,Intel,Intel UHD,4,128.0,14.0,550,799,699,433,1.61
Dell,Student,Intel,6,2.2,Intel,Intel UHD,8,512.0,14.0,1336,1451,1405,538,2.61
Razer,Basic,Intel,4,1.9,AMD,AMD Radeon,8,256.0,16.0,780,674,717,333,2.15
Apple,Basic,Intel,4,2.3,AMD,AMD Radeon,4,128.0,17.3,911,433,624,203,3.07
Apple,Gaming,Intel,8,3.8,AMD,AMD Radeon,32,2048.0,14.0,3031,10793,7689,3800,2.02
Dell,Basic,Intel,2,2.1,Intel,Intel Iris Xe,4,256.0,14.0,430,283,342,295,1.16
Apple,Student,AMD,6,2.6,Intel,Intel Iris Xe,16,512.0,14.0,1560,841,1129,761,1.48
ASUS,Student,Intel,6,3.3,AMD,AMD Radeon,8,512.0,15.6,1974,1181,1498,591,2.53
HP,Professional,AMD,8,3.0,NVIDIA,NVIDIA RTX,16,1024.0,15.6,2427,2684,2581,1794,1.44
Acer,Gaming,Intel,8,3.0,AMD,AMD Radeon,32,1024.0,15.6,2421,11896,8106,2743,2.96
Acer,Student,Intel,4,2.5,Intel,Intel Iris Xe,8,256.0,15.6,997,786,870,666,1.31
Apple,Professional,Intel,8,3.2,AMD,AMD Radeon,16,512.0,17.3,2583,3774,3298,1725,1.91
Lenovo,Professional,Intel,6,4.2,AMD,AMD Radeon,16,512.0,14.0,2535,1822,2107,1753,1.2
Dell,Gaming,AMD,12,5.2,NVIDIA,NVIDIA GeForce,32,2048.0,13.3,6288,12734,10156,3659,2.78
HP,Basic,Intel,2,2.7,Intel,Intel UHD,4,256.0,17.3,537,291,389,334,1.16
Dell,Student,Intel,6,3.1,AMD,AMD Radeon,8,512.0,14.0,1879,888,1284,714,1.8
ASUS,Basic,AMD,2,2.2,AMD,AMD Radeon,4,128.0,14.0,430,234,313,312,1.0
HP,Professional,Intel,8,4.0,NVIDIA,NVIDIA GeForce,16,1024.0,13.3,3239,3052,3127,2407,1.3
HP,Basic,Intel,4,1.6,Intel,Intel Iris Xe,4,256.0,14.0,656,496,560,410,1.37
Lenovo,Professional,Intel,6,3.5,AMD,AMD Radeon,32,512.0,15.6,2129,2965,2630,816,3.22
HP,Professional,AMD,8,2.7,AMD,AMD Radeon,16,512.0,15.6,2151,2845,2567,881,2.91
Lenovo,Student,Intel,6,3.2,AMD,AMD Radeon,8,512.0,14.0,1928,934,1332,820,1.62
ASUS,Student,AMD,4,3.1,Intel,Intel Iris Xe,8,512.0,14.0,1255,564,840,614,1.37
ASUS,Gaming,Intel,16,3.7,NVIDIA,NVIDIA RTX,16,2048.0,17.3,5938,14984,11366,2747,4.14
ASUS,Basic,Intel,4,2.1,AMD,AMD Radeon,4,512.0,15.6,853,519,653,453,1.44
ASUS,Gaming,AMD,12,3.3,AMD,AMD Radeon,32,1024.0,17.3,3917,6110,5233,3586,1.46
Dell,Student,Intel,4,2.7,Intel,Intel UHD,16,256.0,17.3,1074,894,966,618,1.56
Apple,Professional,AMD,8,4.5,NVIDIA,NVIDIA GeForce,32,512.0,17.3,3582,2432,2892,2130,1.36
Lenovo,Basic,Intel,2,2.0,Intel,Intel Iris Xe,4,256.0,14.0,400,800,640,332,1.93
Apple,Gaming,Intel,8,4.0,NVIDIA,NVIDIA GeForce,32,512.0,13.3,3226,7874,6015,2027,2.97
Razer,Basic,Intel,2,1.8,AMD,AMD Radeon,4,128.0,16.0,368,703,569,312,1.82
Lenovo,Professional,AMD,12,2.7,NVIDIA,NVIDIA GeForce,32,512.0,15.6,3289,1074,1960,1704,1.15
Dell,Student,Intel,4,3.2,AMD,AMD Radeon,16,256.0,15.6,1299,835,1021,835,1.22
Dell,Student,Intel,4,2.2,AMD,AMD Radeon,16,512.0,15.6,871,675,754,389,1.94
Apple,Professional,Intel,6,4.4,AMD,AMD Radeon,32,512.0,14.0,2643,2686,2669,2180,1.22
Razer,Professional,Intel,12,4.4,AMD,AMD Radeon,32,512.0,14.0,5262,2726,3740,1566,2.39
Acer,Basic,AMD,2,2.5,Intel,Intel UHD,4,128.0,14.0,501,444,467,428,1.09
Acer,Professional,Intel,12,2.6,AMD,AMD Radeon,16,512.0,14.0,3091,2209,2562,2573,1.0
HP,Student,Intel,6,2.2,AMD,AMD Radeon,8,512.0,15.6,1338,1328,1332,819,1.63
Acer,Student,Intel,6,2.7,Intel,Intel UHD,8,512.0,14.0,1607,680,1051,781,1.35
Acer,Professional,Intel,6,3.8,AMD,AMD Radeon,16,1024.0,15.6,2279,1483,1801,2091,0.86
Razer,Student,Intel,6,2.6,Intel,Intel Iris Xe,8,512.0,16.0,1572,1159,1324,537,2.47
Acer,Professional,Intel,6,4.2,NVIDIA,NVIDIA RTX,16,1024.0,14.0,2498,1300,1779,2338,0.76
Acer,Basic,Intel,2,2.6,Intel,Intel Iris Xe,4,256.0,13.3,516,299,386,355,1.09
Apple,Basic,AMD,4,2.3,Intel,Intel Iris Xe,4,128.0,14.0,935,621,747,238,3.14
Lenovo,Professional,Intel,8,3.9,NVIDIA,NVIDIA RTX,32,1024.0,14.0,3112,1889,2378,1288,1.85
Lenovo,Professional,Intel,8,4.1,NVIDIA,NVIDIA GeForce,16,512.0,15.6,3285,1195,2031,937,2.17
Acer,Professional,Intel,6,4.2,NVIDIA,NVIDIA GeForce,16,512.0,15.6,2517,1678,2014,781,2.58
HP,Professional,Intel,12,3.0,NVIDIA,NVIDIA GeForce,16,512.0,13.3,3639,1387,2288,1135,2.02
Razer,Professional,Intel,6,2.5,NVIDIA,NVIDIA GeForce,16,512.0,15.6,1516,3411,2653,2468,1.07
Lenovo,Professional,Intel,8,4.4,AMD,AMD Radeon,16,512.0,16.0,3525,2200,2730,2358,1.16
Dell,Professional,Intel,8,3.1,NVIDIA,NVIDIA RTX,32,512.0,15.6,2463,2792,2660,807,3.3
Acer,Student,Intel,4,2.6,Intel,Intel Iris Xe,8,512.0,16.0,1039,1397,1254,924,1.36
Razer,Basic,Intel,2,2.4,Intel,Intel Iris Xe,4,128.0,15.6,475,297,368,350,1.05
Acer,Basic,Intel,4,1.6,Intel,Intel UHD,4,128.0,15.6,654,448,531,192,2.77
Dell,Gaming,AMD,8,5.2,AMD,AMD Radeon,32,512.0,15.6,4141,11017,8267,3026,2.73
Dell,Basic,Intel,2,2.6,Intel,Intel Iris Xe,4,128.0,17.3,515,292,381,420,0.91
Lenovo,Student,AMD,4,2.4,Intel,Intel UHD,8,512.0,15.6,967,1484,1277,780,1.64
Lenovo,Student,Intel,4,2.8,Intel,Intel UHD,8,512.0,13.3,1130,539,775,739,1.05
Dell,Student,Intel,6,2.1,Intel,Intel UHD,8,256.0,16.0,1268,1403,1349,539,2.5
Dell,Student,AMD,6,3.4,AMD,AMD Radeon,8,256.0,17.3,2029,1239,1555,532,2.92
Dell,Gaming,Intel,16,3.4,NVIDIA,NVIDIA GeForce,16,512.0,15.6,5479,7350,6602,2174,3.04
ASUS,Student,AMD,6,3.0,AMD,AMD Radeon,8,256.0,14.0,1794,599,1077,542,1.99
Lenovo,Student,Intel,4,2.0,AMD,AMD Radeon,8,256.0,14.0,809,930,881,671,1.31
Lenovo,Student,AMD,4,2.9,AMD,AMD Radeon,8,512.0,13.3,1150,531,778,388,2.01
HP,Student,Intel,6,2.5,Intel,Intel UHD,16,256.0,13.3,1496,753,1050,886,1.19
Lenovo,Student,Intel,6,3.4,Intel,Intel Iris Xe,16,512.0,14.0,2036,1251,1565,570,2.75
HP,Student,Intel,4,3.2,Intel,Intel UHD,8,512.0,16.0,1285,775,979,607,1.61
Apple,Professional,Intel,8,3.2,NVIDIA,NVIDIA RTX,16,512.0,15.6,2556,1645,2009,1241,1.62
Lenovo,Student,Intel,6,2.2,Intel,Intel UHD,16,512.0,17.3,1338,1468,1416,856,1.65
Acer,Student,Intel,6,2.0,Intel,Intel UHD,8,256.0,15.6,1213,1111,1152,744,1.55
ASUS,Student,Intel,4,2.7,AMD,AMD Radeon,8,512.0,15.6,1091,671,839,588,1.43
Dell,Student,Intel,6,2.1,AMD,AMD Radeon,16,512.0,17.3,1282,684,923,678,1.36
Acer,Basic,AMD,2,2.3,Intel,Intel Iris Xe,8,128.0,13.3,454,460,458,237,1.93
HP,Gaming,AMD,8,3.7,NVIDIA,NVIDIA RTX,16,512.0,15.6,2949,8531,6298,1920,3.28
Lenovo,Professional,AMD,8,2.7,NVIDIA,NVIDIA GeForce,16,512.0,15.6,2142,3237,2799,2178,1.29
ASUS,Professional,Intel,8,2.7,NVIDIA,NVIDIA GeForce,16,1024.0,15.6,2171,3430,2926,934,3.13
Lenovo,Gaming,Intel,8,3.0,NVIDIA,NVIDIA GeForce,16,1024.0,17.3,2432,6378,4800,1139,4.21
Dell,Student,AMD,4,2.9,AMD,AMD Radeon,16,256.0,16.0,1151,1470,1342,509,2.64
Dell,Professional,Intel,8,2.9,NVIDIA,NVIDIA GeForce,32,512.0,16.0,2327,1605,1894,2135,0.89
HP,Student,Intel,6,2.6,AMD,AMD Radeon,8,256.0,15.6,1581,1163,1330,835,1.59
Acer,Professional,AMD,6,3.8,NVIDIA,NVIDIA RTX,16,512.0,16.0,2255,2448,2370,1544,1.53
ASUS,Basic,Intel,2,2.4,Intel,Intel Iris Xe,4,128.0,15.6,476,633,571,288,1.98
HP,Gaming,Intel,8,3.4,AMD,AMD Radeon,32,1024.0,13.3,2735,12788,8767,3503,2.5
ASUS,Student,Intel,4,2.3,AMD,AMD Radeon,8,512.0,17.3,916,1031,985,796,1.24
HP,Professional,Intel,8,4.1,NVIDIA,NVIDIA GeForce,32,1024.0,15.6,3292,3545,3444,948,3.63
Acer,Basic,Intel,4,1.9,Intel,Intel Iris Xe,8,256.0,16.0,776,647,699,390,1.79
ASUS,Professional,AMD,8,3.6,NVIDIA,NVIDIA GeForce,16,1024.0,15.6,2888,3955,3528,2232,1.58
Dell,Gaming,Intel,16,5.0,AMD,AMD Radeon,16,2048.0,17.3,7965,14136,11668,2598,4.49
HP,Student,Intel,6,2.4,Intel,Intel Iris Xe,8,256.0,15.6,1429,1153,1263,461,2.74
Acer,Professional,Intel,12,3.6,NVIDIA,NVIDIA RTX,16,1024.0,13.3,4285,2624,3289,2358,1.39
Dell,Basic,Intel,2,2.7,Intel,Intel Iris Xe,4,256.0,15.6,540,409,461,351,1.31
Lenovo,Basic,Intel,4,2.5,Intel,Intel Iris Xe,4,128.0,14.0,1005,479,689,493,1.4
Razer,Gaming,Intel,8,5.1,NVIDIA,NVIDIA GeForce,32,512.0,14.0,4092,5179,4744,3355,1.41
HP,Student,Intel,6,3.3,Intel,Intel Iris Xe,8,512.0,16.0,1968,1351,1598,870,1.84
Lenovo,Professional,AMD,12,3.8,AMD,AMD Radeon,16,1024.0,15.6,4557,2288,3196,924,3.46
Acer,Student,Intel,4,2.5,Intel,Intel UHD,8,256.0,16.0,991,823,890,842,1.06
Apple,Professional,Intel,8,3.4,NVIDIA,NVIDIA GeForce,16,512.0,17.3,2729,3406,3135,2122,1.48
Apple,Basic,AMD,2,2.6,Intel,Intel Iris Xe,4,256.0,17.3,513,695,622,209,2.98
Lenovo,Student,Intel,6,3.4,AMD,AMD Radeon,8,512.0,15.6,2022,1207,1533,489,3.13
Dell,Professional,Intel,6,2.5,AMD,AMD Radeon,16,512.0,14.0,1507,2710,2229,1042,2.14
Dell,Student,Intel,6,3.4,AMD,AMD Radeon,8,256.0,14.0,2057,1104,1485,847,1.75
HP,Gaming,Intel,8,4.7,NVIDIA,NVIDIA RTX,32,512.0,15.6,3796,9694,7335,3189,2.3
Lenovo,Professional,Intel,8,4.0,AMD,AMD Radeon,16,512.0,15.6,3219,3042,3113,2244,1.39
ASUS,Basic,Intel,2,2.2,AMD,AMD Radeon,8,128.0,15.6,444,463,456,256,1.78
Lenovo,Student,Intel,6,3.3,AMD,AMD Radeon,8,256.0,15.6,2000,1416,1650,624,2.64
Dell,Student,Intel,4,3.1,Intel,Intel Iris Xe,16,256.0,15.6,1253,849,1011,513,1.97
HP,Student,Intel,6,3.3,AMD,AMD Radeon,8,512.0,16.0,1971,923,1342,410,3.27
Lenovo,Student,AMD,6,3.0,Intel,Intel UHD,8,512.0,15.6,1777,503,1013,715,1.42
ASUS,Student,Intel,4,3.4,Intel,Intel Iris Xe,8,512.0,13.3,1368,613,915,342,2.68
ASUS,Student,Intel,4,2.1,Intel,Intel UHD,8,256.0,17.3,847,700,759,553,1.37
Dell,Professional,Intel,8,3.2,NVIDIA,NVIDIA RTX,16,512.0,15.6,2589,1853,2147,2368,0.91
Dell,Gaming,Intel,8,4.9,NVIDIA,NVIDIA RTX,16,1024.0,13.3,3888,13046,9383,2493,3.76
Dell,Professional,Intel,8,4.2,NVIDIA,NVIDIA RTX,32,512.0,16.0,3383,3759,3609,2231,1.62
HP,Student,Intel,4,2.4,AMD,AMD Radeon,8,512.0,14.0,944,547,706,704,1.0
HP,Gaming,AMD,12,4.0,NVIDIA,NVIDIA GeForce,32,1024.0,16.0,4848,7796,6617,3720,1.78
Lenovo,Basic,Intel,2,2.7,Intel,Intel Iris Xe,4,128.0,14.0,541,680,624,321,1.94
ASUS,Basic,Intel,2,1.8,AMD,AMD Radeon,4,128.0,15.6,362,492,440,429,1.03
Dell,Professional,Intel,8,2.7,AMD,AMD Radeon,32,512.0,16.0,2184,3835,3175,991,3.2
ASUS,Student,Intel,4,2.5,AMD,AMD Radeon,16,256.0,14.0,997,883,928,470,1.97
HP,Basic,Intel,2,2.8,AMD,AMD Radeon,4,256.0,14.0,558,518,534,328,1.63
Lenovo,Professional,Intel,8,4.0,NVIDIA,NVIDIA RTX,16,1024.0,15.6,3218,2767,2947,1609,1.83
Lenovo,Basic,Intel,2,2.0,AMD,AMD Radeon,4,256.0,16.0,391,756,610,404,1.51
ASUS,Gaming,AMD,16,4.2,NVIDIA,NVIDIA GeForce,16,1024.0,15.6,6756,8808,7987,2519,3.17
Dell,Basic,AMD,2,2.1,Intel,Intel Iris Xe,4,128.0,15.6,427,370,393,243,1.62
Lenovo,Basic,Intel,2,2.7,Intel,Intel UHD,4,512.0,15.6,541,441,481,150,3.21
MSI,Gaming,Intel,12,4.8,NVIDIA,NVIDIA RTX,32,512.0,15.6,5769,5639,5691,3798,1.5
HP,Student,Intel,4,3.5,AMD,AMD Radeon,8,256.0,15.6,1391,825,1052,805,1.31
Lenovo,Professional,Intel,6,3.1,NVIDIA,NVIDIA RTX,16,512.0,16.0,1877,1034,1371,1259,1.09
ASUS,Gaming,Intel,16,3.8,NVIDIA,NVIDIA GeForce,32,1024.0,13.3,6139,8375,7481,3457,2.16
Razer,Gaming,AMD,8,3.3,AMD,AMD Radeon,16,512.0,16.0,2609,9759,6899,1159,5.95
Lenovo,Student,AMD,6,2.2,AMD,AMD Radeon,8,256.0,17.3,1323,1255,1282,774,1.66
Lenovo,Student,Intel,6,2.8,Intel,Intel UHD,16,256.0,13.3,1675,1409,1515,589,2.57
Razer,Professional,AMD,6,2.8,NVIDIA,NVIDIA RTX,16,512.0,15.6,1660,2091,1919,2393,0.8
Lenovo,Basic,Intel,2,2.7,Intel,Intel UHD,8,256.0,14.0,532,679,620,320,1.94
MSI,Basic,Intel,2,1.8,Intel,Intel UHD,8,256.0,14.0,370,481,436,305,1.43
Acer,Professional,Intel,6,2.8,AMD,AMD Radeon,32,512.0,17.3,1688,3477,2761,879,3.14
Lenovo,Gaming,AMD,12,4.8,NVIDIA,NVIDIA RTX,16,512.0,15.6,5724,13384,10320,3371,3.06
Apple,Student,AMD,4,2.6,Intel,Intel UHD,8,256.0,15.6,1042,570,759,626,1.21
MSI,Basic,Intel,4,2.7,Intel,Intel Iris Xe,4,128.0,15.6,1062,301,605,326,1.86
Lenovo,Student,Intel,6,2.5,Intel,Intel Iris Xe,8,512.0,15.6,1476,1242,1336,926,1.44
HP,Basic,AMD,2,1.9,Intel,Intel UHD,4,128.0,16.0,377,276,317,160,1.98
Dell,Student,Intel,4,3.2,Intel,Intel Iris Xe,16,512.0,16.0,1298,569,860,668,1.29
Dell,Gaming,Intel,8,4.7,NVIDIA,NVIDIA RTX,16,2048.0,15.6,3740,10049,7525,2975,2.53
HP,Professional,Intel,12,3.0,AMD,AMD Radeon,16,1024.0,15.6,3615,2861,3163,2498,1.27
Dell,Professional,AMD,8,2.8,AMD,AMD Radeon,16,512.0,16.0,2259,3827,3200,1909,1.68
HP,Professional,AMD,8,3.2,AMD,AMD Radeon,16,1024.0,15.6,2575,2172,2333,807,2.89
HP,Student,Intel,6,3.4,AMD,AMD Radeon,8,256.0,14.0,2068,1285,1598,796,2.01
HP,Gaming,Intel,16,3.5,NVIDIA,NVIDIA GeForce,32,1024.0,15.6,5550,5006,5224,3200,1.63
Lenovo,Student,Intel,4,2.8,Intel,Intel Iris Xe,8,256.0,15.6,1113,955,1018,751,1.36
Acer,Basic,Intel,2,2.8,AMD,AMD Radeon,4,256.0,17.3,551,354,433,378,1.15
Lenovo,Student,Intel,6,2.6,Intel,Intel UHD,8,256.0,15.6,1536,988,1207,653,1.85
Apple,Student,Intel,6,2.8,Intel,Intel UHD,8,512.0,14.0,1704,1255,1435,717,2.0
HP,Student,AMD,4,2.1,Intel,Intel UHD,16,256.0,15.6,829,1445,1199,570,2.1
Acer,Student,AMD,6,2.2,Intel,Intel UHD,8,256.0,14.0,1320,765,987,761,1.3
HP,Basic,AMD,4,1.7,AMD,AMD Radeon,8,256.0,15.6,690,639,660,448,1.47
Lenovo,Basic,Intel,2,1.9,AMD,AMD Radeon,4,256.0,14.0,374,429,407,322,1.26
HP,Basic,Intel,4,2.2,Intel,Intel UHD,4,256.0,15.6,873,491,644,363,1.77
HP,Basic,AMD,4,1.9,Intel,Intel Iris Xe,4,256.0,15.6,778,224,446,255,1.75
Lenovo,Student,Intel,6,3.3,AMD,AMD Radeon,8,256.0,15.6,2006,669,1204,753,1.6
Lenovo,Basic,Intel,4,1.7,AMD,AMD Radeon,8,128.0,15.6,691,642,662,406,1.63
Lenovo,Professional,Intel,8,4.2,NVIDIA,NVIDIA GeForce,16,512.0,15.6,3361,2496,2842,1710,1.66
Lenovo,Basic,AMD,2,2.2,Intel,Intel UHD,4,128.0,17.3,441,274,341,276,1.24
Lenovo,Professional,Intel,12,4.1,NVIDIA,NVIDIA GeForce,16,1024.0,15.6,4926,3166,3870,1989,1.95
Lenovo,Gaming,Intel,12,3.1,AMD,AMD Radeon,16,512.0,14.0,3686,12549,9004,2451,3.67
Dell,Professional,AMD,8,4.4,AMD,AMD Radeon,16,512.0,14.0,3509,1980,2591,2216,1.17
Dell,Student,AMD,4,2.9,AMD,AMD Radeon,8,512.0,14.0,1179,793,948,817,1.16
HP,Basic,Intel,4,2.1,Intel,Intel UHD,4,128.0,15.6,841,359,552,342,1.61
ASUS,Basic,AMD,2,2.4,Intel,Intel Iris Xe,4,128.0,13.3,482,794,669,531,1.26
HP,Gaming,Intel,16,4.0,NVIDIA,NVIDIA RTX,16,512.0,15.6,6406,11134,9243,1176,7.86
Dell,Basic,Intel,4,2.1,Intel,Intel Iris Xe,4,256.0,17.3,826,563,668,409,1.63
Lenovo,Basic,Intel,4,2.4,AMD,AMD Radeon,4,256.0,14.0,966,402,627,282,2.22
Lenovo,Basic,AMD,4,1.7,Intel,Intel UHD,4,128.0,16.0,685,262,432,480,0.9
MSI,Basic,Intel,2,1.7,Intel,Intel Iris Xe,4,256.0,13.3,349,381,369,448,0.82
ASUS,Gaming,AMD,8,4.0,AMD,AMD Radeon,16,512.0,15.6,3186,8490,6368,1953,3.26
Dell,Student,Intel,6,3.2,Intel,Intel Iris Xe,8,512.0,17.3,1910,606,1128,807,1.4
Dell,Professional,Intel,8,2.8,AMD,AMD Radeon,16,512.0,13.3,2218,2055,2120,1856,1.14
ASUS,Professional,Intel,6,3.4,NVIDIA,NVIDIA GeForce,32,512.0,15.6,2035,1827,1910,1442,1.32
ASUS,Gaming,Intel,8,3.7,NVIDIA,NVIDIA GeForce,16,512.0,15.6,2980,10082,7241,963,7.52
HP,Student,Intel,4,3.1,Intel,Intel UHD,8,512.0,15.6,1254,1205,1224,806,1.52
HP,Student,AMD,6,2.4,AMD,AMD Radeon,8,256.0,16.0,1437,1367,1395,479,2.91
Lenovo,Student,AMD,6,2.8,AMD,AMD Radeon,8,256.0,15.6,1661,667,1065,815,1.31
ASUS,Student,AMD,4,2.8,AMD,AMD Radeon,8,256.0,17.3,1110,1377,1270,639,1.99
